Region_Name,Legal_Name
중랑구,중화1동
중랑구,중화2동
중랑구,묵1동
중랑구,묵2동
중랑구,망우1동
중랑구,망우2동
중랑구,망우3동
중랑구,망우동
중랑구,신내동
성북구,미아동
성북구,번동
성북구,수유동
성북구,우이동
성북구,창동
성북구,월계동
성북구,쌍문동
성북구,공릉동
성북구,하계동
성북구,상계동
성북구,중계동
성북구,도봉동
성북구,방학동
성북구,성북동2가
성북구,동소문동8가
성북구,성북1동
성북구,성북2동
성북구,삼선1동
성북구,삼선2동
성북구,동선1동
성북구,동선2동
성북구,돈암1동
성북구,돈암2동
성북구,정릉1동
성북구,정릉2동
성북구,정릉3동
성북구,정릉4동
성북구,길음1동
성북구,길음2동
성북구,길음3동
성북구,종암1동
서대문구,현저동
서대문구,북아현동
서대문구,북아현동
서대문구,북아현동
서대문구,대현동
서대문구,대신동
서대문구,신촌동
서대문구,봉원동
서대문구,창천동
서대문구,연희동
서대문구,연희동
서대문구,연희동
서대문구,홍제동
서대문구,홍제동
서대문구,홍은동
서대문구,홍은동
마포구,연희동
마포구,남가좌동
마포구,수색동
마포구,율도동
마포구,아현1동
마포구,아현2동
마포구,아현3동
마포구,공덕1동
마포구,공덕2동
마포구,도화1동
마포구,도화2동
마포구,망원1동
마포구,망원2동
마포구,성산1동
마포구,성산2동
마포구,아현동
마포구,도화동
마포구,도화동
마포구,대흥동
마포구,노고산동
마포구,신수동
마포구,창전동
마포구,상수동
마포구,하중동
마포구,신정동
마포구,당인동
마포구,하수동
마포구,망원동
마포구,망원동
양천구,목1동
양천구,목2동
양천구,목3동
양천구,목4동
양천구,목5동
양천구,신월1동
양천구,신월2동
양천구,신월3동
양천구,신월4동
양천구,신월5동
양천구,신월6동
양천구,신정1동
양천구,신정2동
양천구,신정3동
양천구,신정4동
양천구,신정5동
양천구,신정6동
양천구,목동
양천구,양천구
양천구,신정동
강서구,신정동
강서구,신월동
강서구,목동
강서구,등촌1동
강서구,등촌2동
강서구,화곡1동
강서구,화곡2동
강서구,화곡3동
강서구,화곡4동
강서구,화곡5동
강서구,화곡본동
강서구,발산동
강서구,방화1동
강서구,방화2동
강서구,화곡동
강서구,가양동
강서구,마곡동
강서구,내발산동
강서구,외발산동
강서구,과해동
강서구,오곡동
강서구,오쇠동
구로구,구로1동
구로구,구로2동
구로구,구로3동
구로구,구로4동
구로구,구로5동
구로구,구로6동
구로구,가리봉1동
구로구,가리봉2동
구로구,가리봉3동
구로구,독산1동
강동구,잠실동
강동구,신천동
강동구,송파동
강동구,석촌동
강동구,삼전동
강동구,가락동
강동구,문정동
강동구,장지동
강동구,방이동
강동구,오금동
강동구,거여동
